timestamp;date_GMT;status;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name
1679164200;Mar 18 2023 - 6:30pm;complete;N/A;Boca Juniors Women;Belgrano W;N/A;4;3.00;1.00;3.00;1.00;1;0;1;0;0;0;81;;3;2;2;0;3;0;0;2;1;2;15;9;6;2;9;7;-1;-1;50;50;1.32;0.00;2.03;1.03;1.50;0;50;50;0;0;0;0;50;50;17.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Complejo Casa Amarilla Pedro Pompilio (Ciudad de Buenos Aires)
1679166000;Mar 18 2023 - 7:00pm;complete;N/A;Rosario Central W;River Plate Women;N/A;4;1.00;0.00;1.89;1.44;3;0;3;2;2;0;18,39,76;;1;5;3;0;4;0;2;1;1;3;9;12;7;6;2;6;-1;-1;50;50;0.00;1.60;1.40;1.75;0.50;0;0;0;0;0;0;0;0;50;10.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Gigante de Arroyito (Rosario- Provincia de Santa Fe)
1679166000;Mar 18 2023 - 7:00pm;complete;N/A;San Lorenzo Women;HuracÇ­n Women;N/A;4;3.00;0.00;1.82;0.64;0;0;0;0;0;0;;;4;4;-1;-1;-1;-1;-1;-1;-1;-1;5;9;0;3;5;6;-1;-1;50;50;2.28;0.00;0.62;1.17;1.00;0;50;0;0;0;0;50;0;50;4.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Cancha Auxiliar San Lorenzo (Capital Federal- Ciudad de Buenos Aires)
1679234400;Mar 19 2023 - 2:00pm;complete;N/A;Ferro Carril Oeste Women;Estudiantes La Plata Women;N/A;4;3.00;2.00;1.91;0.75;5;1;6;5;5;0;12,15,36,37,44;75;1;3;2;0;2;1;1;1;1;2;14;11;10;7;4;4;-1;-1;50;50;2.11;1.32;1.93;1.57;3.75;50;100;100;75;0;25;75;75;100;4.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Predio RaÇ§l Florentino Di Carlo (Pontevedra)
1679248800;Mar 19 2023 - 6:00pm;complete;N/A;Banfield W;Racing Club Women;N/A;4;3.00;0.00;0.89;1.90;0;1;1;0;0;0;;50;5;2;1;1;4;0;0;2;0;4;6;7;4;2;2;5;8;11;50;50;0.00;0.41;1.03;0.92;2.00;0;50;50;0;0;0;0;50;50;4.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Florencio SolÇ­ (Lomas de Zamora- Provincia de Buenos Aires)
1679337000;Mar 20 2023 - 6:30pm;complete;N/A;Excursionistas Women;El Porvenir Women;N/A;4;0.00;0.00;1.80;0.40;1;0;1;1;1;0;37;;5;5;1;1;3;2;1;1;0;5;14;9;9;6;5;3;-1;-1;50;50;0.00;1.49;1.89;1.43;2.00;0;50;50;50;0;0;50;50;50;8.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio de Excursionistas (Capital Federal- Ciudad de Buenos Aires)
1679338800;Mar 20 2023 - 7:00pm;complete;N/A;Gimnasia La Plata W;LanÇ§s Women;N/A;4;0.50;0.00;1.27;0.30;4;2;6;2;2;0;14,20,55,9001;57,75;7;5;0;0;2;1;0;0;0;3;17;10;6;4;11;6;-1;-1;50;50;0.98;0.60;2.06;1.29;2.75;0;50;50;50;50;50;75;50;50;5.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Juan Carmelo Zerillo (La Plata- Provincia de Buenos Aires)
1679760000;Mar 25 2023 - 4:00pm;complete;N/A;Huracan Women;Boca Juniors Women;N/A;5;2.00;2.00;1.91;2.25;0;0;0;0;0;0;;;1;5;0;0;0;0;0;0;0;0;10;6;3;2;7;4;12;12;50;50;1.33;1.64;1.15;0.82;1.50;50;50;0;0;0;0;75;25;50;9.50;4.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio TomÇ­s Adolfo DucÇü (Capital Federal- Ciudad de Buenos Aires)
1679769000;Mar 25 2023 - 6:30pm;complete;N/A;Platense Women;Gimnasia La Plata W;N/A;5;2.00;0.00;2.50;0.82;2;1;3;1;1;0;18,88;77;6;2;0;0;1;0;0;0;1;0;4;6;3;3;1;3;-1;-1;48;52;1.59;0.00;0.95;0.98;1.25;25;25;0;0;0;0;25;25;25;7.50;1.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Ciudad de Vicente LÇüpez (Vicente LÇüpez- Provincia de Buenos Aires)
1679839800;Mar 26 2023 - 2:10pm;complete;N/A;Defensores de Belgrano W;Banfield W;N/A;5;0.00;0.00;0.73;1.58;1;2;3;1;0;1;53;21,89;3;3;0;0;3;1;0;0;0;4;11;15;6;8;5;7;-1;-1;50;50;0.79;1.30;1.64;2.16;3.25;25;50;50;50;25;25;100;50;50;5.50;4.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Estadio Juan Pasquale (Capital Federal- Ciudad de Buenos Aires)
